S.NO,STATES,YEAR,RAPE,KIDNAP & ABDUCTION,DOWRY DEATHS,CRUETLY BY HUSBAND OR HIS RELATIVES,HUMAN TRAFFICKING,ASSAULT ON MODESTY,SEXUAL HARRASSMENT,others,tot
10,Jammu & Kashmir,2019,223,893,8,347,0,1440,15,0,3069
11,Jharkhand,2019,1416,1008,299,1426,41,1646,7,4,8760
12,Karnataka,2019,505,1056,194,2472,11,4937,107,214,13828
13,Kerala,2019,2023,227,8,2970,100,4507,435,10,11462
14,Madhya Pradesh,2019,2485,6091,550,5486,29,5585,174,21,27560
15,Maharashtra,2019,2299,6906,196,8430,220,10472,1074,152,37144
16,Manipur,2019,36,84,0,15,4,59,7,0,266
17,Meghalaya,2019,102,71,3,23,1,96,18,3,558
18,Mizoram,2019,42,2,0,5,7,35,0,0,170
19,Nagaland,2019,8,13,0,0,1,8,1,0,43
20,Odisha,2019,1382,3934,342,2739,79,11308,536,19,23183
21,Punjab,2019,1002,1534,69,1595,8,944,35,9,5886
22,Rajasthan,2019,5997,5907,452,18432,5,8802,69,40,41550
23,Sikkim,2019,11,0,0,1,0,21,2,0,125
24,Tamil Nadu,2019,362,699,28,781,11,803,7,349,5934
25,Telangana,2019,873,1322,163,8541,55,4190,695,22,18394
26,Tripura,2019,88,138,38,451,2,153,5,0,1070
27,Uttar Pradesh,2019,3065,11649,2410,18304,14,11988,42,22,59853
28,Uttarakhand,2019,526,375,57,644,2,475,10,3,2541
29,West Bengal,2019,1069,4249,444,16951,52,3399,391,97,30394
30,A & N Islands,2019,13,0,0,1,0,25,3,0,135
31,Chandigarh,2019,112,129,6,177,1,66,15,0,515
32,D&N Haveli,2019,0,1,3,3,0,3,0,0,49
33,Daman & Diu,2019,4,2,2,4,0,5,3,1,33
34,Delhi UT,2019,1253,3672,116,3792,24,2355,456,4,13395
35,Lakshadweep,2019,0,0,0,0,0,5,8,0,38
36,Puducherry,2019,10,0,0,8,0,23,0,0,95
1,Andhra Pradesh,2020,1095,534,111,6546,64,4886,2342,48,17089
2,Arunachal Pradesh,2020,60,45,0,69,1,73,3,0,281
3,Assam,2020,1657,5364,148,11408,66,4642,90,18,26352
4,Bihar,2020,806,6671,1046,1935,15,584,6,30,15359
5,Chhattisgarh,2020,1210,1341,71,641,21,1461,279,3,7385
6,Goa,2020,60,31,0,8,16,67,35,0,219
7,Gujarat,2020,486,597,6,3345,4,846,17,47,8028
8,Haryana,2020,1373,2423,251,4119,9,2339,183,28,13000
9,Himachal Pradesh,2020,331,281,1,259,0,538,88,0,1614
10,Jammu & Kashmir,2020,1321,993,275,857,46,1358,6,2,7630
11,Jharkhand,2020,504,923,176,2055,12,4751,70,159,12680
12,Karnataka,2020,637,151,6,2707,72,3890,442,5,10139
13,Kerala,2020,2339,4782,608,5540,34,5378,200,14,25640
14,Madhya Pradesh,2020,2061,5254,197,6729,116,9965,969,85,31954
15,Maharashtra,2020,32,49,1,7,2,61,8,0,247
16,Manipur,2020,67,29,1,17,0,86,16,0,568
17,Meghalaya,2020,33,1,0,7,0,26,3,0,172
18,Mizoram,2020,4,6,1,2,0,7,2,0,39
19,Nagaland,2020,1211,3775,320,3659,56,12605,615,19,25489
20,Odisha,2020,502,1241,63,1271,2,731,28,11,4838
21,Punjab,2020,5310,4739,479,13765,2,8661,85,67,34535
22,Rajasthan,2020,12,11,0,1,0,18,0,0,140
23,Sikkim,2020,389,633,40,689,4,892,31,231,6630
24,Tamil Nadu,2020,764,1314,158,7453,52,4907,565,13,17791
25,Telangana,2020,79,110,23,356,0,115,3,0,874
26,Tripura,2020,2769,9109,2274,14454,6,9864,28,25,49385
27,Uttar Pradesh,2020,487,349,65,668,5,474,43,8,2846
28,Uttarakhand,2020,1128,7740,522,19962,25,2488,446,52,36439
29,West Bengal,2020,2,1,0,2,1,15,3,0,143
30,A & N Islands,2020,60,90,1,96,2,42,4,0,301
31,Chandigarh,2020,4,0,1,4,1,6,3,0,61
32,D&N Haveli,2020,997,2938,110,2557,12,1840,416,3,10093
33,Daman & Diu,2020,243,775,9,349,0,1744,35,0,3405
34,Delhi UT,2020,2,0,0,3,0,4,0,0,9
35,Lakshadweep,2020,3,0,0,0,0,3,1,0,15
36,Puducherry,2020,8,0,2,9,0,25,0,0,113
1,Andhra Pradesh,2021,1188,613,108,7092,71,5108,2370,70,17752
2,Arunachal Pradesh,2021,83,50,0,112,0,74,10,0,366
3,Assam,2021,1733,5739,198,12950,68,4499,184,22,29046
4,Bihar,2021,786,8661,1000,2069,15,387,1,32,17950
5,Chhattisgarh,2021,1093,1158,65,963,14,1248,238,3,7344
6,Goa,2021,72,39,0,1,14,74,20,1,224
7,Gujarat,2021,589,881,11,2271,10,660,7,38,7348
8,Haryana,2021,1716,2958,275,5755,15,2882,290,28,16658
9,Himachal Pradesh,2021,358,344,2,221,1,487,94,6,1599
10,Jammu & Kashmir,2021,1425,1159,281,931,35,1335,6,3,8110
11,Jharkhand,2021,555,906,158,2336,8,5105,71,190,14468
12,Karnataka,2021,771,179,9,4997,60,4059,504,5,13539
13,Kerala,2021,2947,6106,522,7929,52,5760,250,15,30673
14,Madhya Pradesh,2021,2496,7559,172,10095,270,10568,1038,95,39526
15,Maharashtra,2021,26,44,2,18,1,92,16,0,302
16,Manipur,2021,75,42,0,21,1,92,24,3,685
17,Meghalaya,2021,26,0,0,11,0,31,0,0,176
18,Mizoram,2021,4,5,0,2,0,11,1,0,54
19,Nagaland,2021,1456,5175,293,4889,93,14853,838,31,31352
20,Odisha,2021,464,1616,69,1714,2,678,39,12,5662
21,Punjab,2021,6337,5964,452,16949,3,9079,73,40,40738
22,Rajasthan,2021,8,1,0,3,0,17,0,0,130
23,Sikkim,2021,422,638,27,875,1,1077,32,381,8501
24,Tamil Nadu,2021,823,1934,175,9468,115,4365,775,12,20865
25,Telangana,2021,61,115,22,355,1,94,1,0,807
26,Tripura,2021,2845,10574,2222,18375,6,9393,27,12,56083
27,Uttar Pradesh,2021,534,402,72,519,1,655,13,17,3431
28,Uttarakhand,2021,1123,7376,454,19952,30,2485,424,50,35884
29,West Bengal,2021,15,0,1,4,0,32,4,0,169
30,A & N Islands,2021,74,120,4,95,1,37,6,0,343
31,Chandigarh,2021,3,23,0,6,0,7,0,0,99
32,D&N Haveli,2021,1250,4083,141,4731,24,2068,417,4,14277
33,Daman & Diu,2021,315,904,16,501,2,1851,10,1,3937
34,Delhi UT,2021,2,1,0,9,0,5,1,0,18
35,Lakshadweep,2021,0,0,0,3,0,1,1,0,9
36,Puducherry,2021,2,0,2,12,0,31,3,0,153
